City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date,Hotel Name
322,Vila,PT,68.7,clear sky,42.0304,-8.1588,62,0,5.17,2022-07-20 21:34:34,
323,Ambulu,ID,71.04,clear sky,-8.345,113.6058,90,6,3.83,2022-07-20 21:43:26,
325,Caribou,US,81.03,clear sky,46.8606,-68.012,37,0,10.36,2022-07-20 21:43:27,
326,Kahului,US,83.97,scattered clouds,20.8947,-156.47,61,40,21.85,2022-07-20 21:43:27,
327,Meulaboh,ID,75.24,overcast clouds,4.1363,96.1285,85,99,4.03,2022-07-20 21:43:27,
328,Salalah,OM,77.09,drizzle,17.0151,54.0924,94,100,5.75,2022-07-20 21:43:28,
330,Gunjur,GM,78.87,thunderstorm,13.2019,-16.7339,83,75,4.61,2022-07-20 21:43:29,
331,Sibolga,ID,75.15,broken clouds,1.7427,98.7792,86,63,3.31,2022-07-20 21:43:29,
332,Mitsamiouli,KM,75.38,clear sky,-11.3847,43.2844,69,0,8.34,2022-07-20 21:43:29,
337,Jardim,BR,76.95,clear sky,-21.4803,-56.1381,28,7,3.65,2022-07-20 21:40:59,
338,Wuwei,CN,66.65,moderate rain,37.9281,102.6414,51,83,14.67,2022-07-20 21:43:31,
339,Mangrol,IN,80.24,broken clouds,21.1167,70.1167,86,82,17.94,2022-07-20 21:43:32,
341,Kontagora,NG,74.91,light rain,10.3999,5.4695,80,98,0.4,2022-07-20 21:43:33,
343,Dongli,CN,78.78,clear sky,23.5656,116.8194,94,0,0.0,2022-07-20 21:43:33,
345,Sassandra,CI,73.53,scattered clouds,4.95,-6.0833,77,48,5.99,2022-07-20 21:43:34,
346,Ketou,BJ,71.53,overcast clouds,7.3633,2.5998,80,96,6.22,2022-07-20 21:43:34,
351,Veraval,IN,80.17,overcast clouds,20.9,70.3667,86,88,17.36,2022-07-20 21:43:36,
358,Malkangiri,IN,76.15,overcast clouds,18.35,81.9,92,100,1.7,2022-07-20 21:43:38,
359,Balingasay,PH,84.16,light rain,16.3573,119.8564,75,100,6.55,2022-07-20 21:43:38,
361,Balykshi,KZ,69.8,light intensity shower rain,47.0667,51.8667,78,75,8.95,2022-07-20 21:43:39,
364,Ivanivka,UA,71.01,broken clouds,46.7208,34.553,52,53,8.03,2022-07-20 21:43:40,
368,Adeje,ES,82.87,clear sky,28.1227,-16.726,69,0,2.3,2022-07-20 21:44:41,
369,Sabang,ID,82.65,overcast clouds,5.8933,95.3214,73,100,22.77,2022-07-20 21:44:41,
371,Tateyama,JP,79.11,scattered clouds,34.9833,139.8667,79,48,8.52,2022-07-20 21:44:42,
374,Ryde,GB,68.67,broken clouds,50.73,-1.1621,90,60,1.99,2022-07-20 21:44:43,
375,Yegorlykskaya,RU,66.56,clear sky,46.5656,40.6562,51,0,7.05,2022-07-20 21:44:43,
376,Santa Fe,AR,67.01,overcast clouds,-31.6333,-60.7,74,95,1.99,2022-07-20 21:43:50,
