City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
442,Banyo,6.75,11.8167,64.31,95,59,2.57,CM,2022-07-12 22:45:54
443,Saint-Pierre,-21.3393,55.4781,66.9,72,0,8.05,RE,2022-07-12 22:45:55
444,Aquiraz,-3.9014,-38.3911,80.69,85,68,9.42,BR,2022-07-12 22:45:55
445,Asau,46.4333,26.4,58.12,76,6,7.07,RO,2022-07-12 22:45:55
446,Hobyo,5.3505,48.5268,76.8,74,79,22.7,SO,2022-07-12 22:45:56
447,Broome,42.2506,-75.833,84.58,49,0,13.8,US,2022-07-12 22:45:56
448,Ciudad Guayana,8.3533,-62.6528,75.52,96,66,7.4,VE,2022-07-12 22:45:56
449,Mumford,5.2618,-0.759,75.13,84,61,10.33,GH,2022-07-12 22:45:57
450,Bilma,18.6853,12.9164,95.32,12,80,23.87,NE,2022-07-12 22:45:57
451,Luorong,24.4058,109.6086,79.36,89,0,1.92,CN,2022-07-12 22:45:57
452,Usakos,-22.0,15.6,61.18,33,0,3.53,NA,2022-07-12 22:45:58
453,Belaya Gora,68.5333,146.4167,72.46,52,24,7.72,RU,2022-07-12 22:45:58
454,Shebunino,46.4339,141.8603,64.51,98,100,7.14,RU,2022-07-12 22:45:59
455,Tungor,53.3808,142.9564,64.9,69,4,12.03,RU,2022-07-12 22:45:59
456,Shirhatti,15.2333,75.5833,69.03,95,100,15.95,IN,2022-07-12 22:45:59
457,Vila Franca Do Campo,37.7167,-25.4333,73.2,95,79,7.9,PT,2022-07-12 22:42:45
458,Preobrazheniye,42.9019,133.9064,68.13,87,52,5.99,RU,2022-07-12 22:46:00
459,Mangrol,21.1167,70.1167,81.14,85,100,23.17,IN,2022-07-12 22:46:00
460,Acarau,-2.8856,-40.12,78.67,83,70,14.09,BR,2022-07-12 22:43:57
461,Ochsenfurt,49.6643,10.0623,66.29,68,80,3.04,DE,2022-07-12 22:46:01
462,Weston,26.1004,-80.3998,92.01,68,0,10.36,US,2022-07-12 22:41:26
463,Atambua,-9.1061,124.8925,66.85,74,76,5.99,ID,2022-07-12 22:47:01
464,Kalemie,-5.9475,29.1947,70.21,70,39,4.18,CD,2022-07-12 22:47:01
465,Cubuk,40.2386,33.0322,67.75,72,0,9.22,TR,2022-07-12 22:47:02
466,Kununurra,-15.7667,128.7333,60.78,23,1,8.05,AU,2022-07-12 22:47:02
467,Morristown,36.214,-83.2949,88.5,63,0,5.75,US,2022-07-12 22:44:59
468,Seryshevo,51.0933,128.3786,72.77,68,33,9.66,RU,2022-07-12 22:47:03
469,Kropotkin,45.4375,40.5756,69.85,73,96,0.58,RU,2022-07-12 22:47:03
470,Georgiyevka,43.0369,74.7114,62.64,63,20,6.71,KZ,2022-07-12 22:47:03
471,Shibetsu,43.659,145.132,65.88,94,100,3.67,JP,2022-07-12 22:47:04
472,Ambunti,-4.2365,142.8448,80.82,76,99,1.41,PG,2022-07-12 22:47:04
473,Wabrzezno,53.2799,18.9477,61.56,77,4,16.93,PL,2022-07-12 22:47:05
474,Ati,13.2154,18.3353,84.51,58,93,17.92,TD,2022-07-12 22:47:05
475,Choix,26.7092,-108.3219,97.03,40,9,7.94,MX,2022-07-12 22:43:01
476,Hambantota,6.1241,81.1185,78.76,81,42,18.72,LK,2022-07-12 22:47:05
477,Krugersdorp,-26.0858,27.7752,53.2,40,0,1.5,ZA,2022-07-12 22:47:06
478,Laguna,38.421,-121.4238,102.15,27,0,13.8,US,2022-07-12 22:47:06
479,Thinadhoo,0.5333,72.9333,82.02,75,81,8.25,MV,2022-07-12 22:47:06
480,Jennings,38.7192,-90.2604,88.18,40,20,9.22,US,2022-07-12 22:47:07
481,Halifax,44.6453,-63.5724,69.69,77,40,18.41,CA,2022-07-12 22:42:21
482,Banff,51.1762,-115.5698,85.23,14,34,9.22,CA,2022-07-12 22:45:10
483,Emba,48.8264,58.1442,78.53,46,58,8.28,KZ,2022-07-12 22:47:07
484,Sangar,63.9242,127.4739,66.87,72,70,0.94,RU,2022-07-12 22:47:08
485,Urucara,-2.5364,-57.76,79.63,67,56,3.11,BR,2022-07-12 22:47:08
486,Umm Lajj,25.0213,37.2685,85.39,70,100,8.23,SA,2022-07-12 22:47:08
487,Areosa,41.7178,-8.8571,76.95,50,39,5.21,PT,2022-07-12 22:47:09
488,Minas,-34.3759,-55.2377,38.44,85,15,2.53,UY,2022-07-12 22:47:09
489,Dukat,62.55,155.55,81.54,42,2,9.71,RU,2022-07-12 22:47:09
490,Saint-Augustin,51.226,-58.6502,57.88,78,100,14.36,CA,2022-07-12 22:43:59
491,Vetluzhskiy,58.3902,45.4654,65.16,96,91,5.08,RU,2022-07-12 22:47:10
492,Cervo,43.6702,-7.4101,67.96,85,1,5.93,ES,2022-07-12 22:47:10
493,Gunnedah,-30.9833,150.25,47.84,76,77,6.98,AU,2022-07-12 22:47:11
494,Aleppo,36.25,37.5,74.28,67,0,16.28,SY,2022-07-12 22:47:11
495,Amapa,1.0,-52.0,72.37,98,97,2.68,BR,2022-07-12 22:47:11
496,Evensk,61.95,159.2333,55.8,84,50,6.73,RU,2022-07-12 22:47:12
497,Stornoway,58.2093,-6.3865,53.92,85,20,12.66,GB,2022-07-12 22:47:12
498,Gerede,40.8008,32.1969,53.29,78,41,0.92,TR,2022-07-12 22:47:12
499,Muzhi,65.3667,64.6667,56.86,88,71,3.53,RU,2022-07-12 22:47:13
500,Corning,42.1428,-77.0547,84.49,52,3,15.01,US,2022-07-12 22:42:46
501,Arman,59.7,150.1667,64.18,86,93,4.92,RU,2022-07-12 22:47:13
502,Yerbogachen,61.2767,108.0108,49.23,65,64,1.54,RU,2022-07-12 22:47:14
503,Dasoguz,41.8363,59.9666,78.75,41,0,9.22,TM,2022-07-12 22:47:14
504,Saint-Joseph,-21.3667,55.6167,64.78,76,27,12.21,RE,2022-07-12 22:47:14
505,Lamu,-2.2717,40.902,73.62,82,72,17.11,KE,2022-07-12 22:47:15
506,Bengkulu,-3.8004,102.2655,75.52,90,100,4.54,ID,2022-07-12 22:47:15
507,Vaxjo,56.8777,14.8091,60.85,72,0,3.44,SE,2022-07-12 22:47:15
508,Abilene,32.4487,-99.7331,103.17,19,0,14.97,US,2022-07-12 22:43:50
509,Macusani,-14.0833,-70.4333,38.21,85,44,6.87,PE,2022-07-12 22:48:16
510,Pacific Grove,36.6177,-121.9166,74.25,77,0,18.41,US,2022-07-12 22:48:16
511,Kumluca,36.3703,30.2869,81.41,57,0,2.37,TR,2022-07-12 22:48:17
512,Katobu,-4.9408,122.5276,75.02,92,52,4.59,ID,2022-07-12 22:48:17
513,Poya,-21.35,165.15,71.1,95,97,3.31,NC,2022-07-12 22:48:17
514,Okha,53.5739,142.9478,62.74,72,2,12.12,RU,2022-07-12 22:48:18
515,Rokytne,51.2796,27.214,53.69,96,100,17.6,UA,2022-07-12 22:48:18
516,Damghan,36.1683,54.348,72.95,32,0,1.52,IR,2022-07-12 22:48:19
517,Tiarei,-17.5333,-149.3333,75.22,79,18,10.76,PF,2022-07-12 22:47:41
518,Marawi,7.9986,124.2928,71.8,91,50,1.54,PH,2022-07-12 22:48:19
519,Boende,-0.2167,20.8667,76.12,61,76,1.95,CD,2022-07-12 22:48:20
520,Henties Bay,-22.116,14.2845,55.11,89,0,7.02,NA,2022-07-12 22:48:20
521,Yatou,37.15,122.3833,76.14,98,100,13.33,CN,2022-07-12 22:48:20
522,Bridlington,54.0831,-0.1919,64.29,75,14,11.79,GB,2022-07-12 22:48:21
523,Nisia Floresta,-6.0911,-35.2086,79.18,89,10,7.58,BR,2022-07-12 22:48:21
524,Waling,27.9833,83.7667,74.28,91,99,2.1,NP,2022-07-12 22:48:21
525,Cayenne,4.9333,-52.3333,83.08,3,0,5.01,GF,2022-07-12 22:48:22
526,Suffolk,40.8668,-72.7996,80.46,83,75,16.11,US,2022-07-12 22:45:02
527,San Pedro,14.35,121.0167,79.83,90,100,3.44,PH,2022-07-12 22:47:22
528,Ruidoso,33.3317,-105.673,77.14,36,20,3.44,US,2022-07-12 22:48:22
529,Sola,-13.8833,167.55,81.19,74,18,18.79,VU,2022-07-12 22:48:22
530,Ternate,0.8,127.4,79.34,82,99,5.14,ID,2022-07-12 22:48:23
531,Nekrasovka,48.3525,135.2325,69.82,94,75,4.47,RU,2022-07-12 22:48:23
532,Highland Springs,37.546,-77.3278,92.66,58,75,13.8,US,2022-07-12 22:48:23
533,Acapulco,16.8634,-99.8901,85.01,76,53,9.8,MX,2022-07-12 22:48:24
534,Hlukhiv,51.6782,33.9162,53.31,75,13,11.61,UA,2022-07-12 22:48:24
535,Oranjemund,-28.55,16.4333,54.45,89,0,12.53,NA,2022-07-12 22:48:25
536,Hopewell,37.3043,-77.2872,93.06,62,52,11.65,US,2022-07-12 22:48:25
537,Gwadar,25.1216,62.3254,83.14,84,61,5.59,PK,2022-07-12 22:44:26
538,Storsteinnes,69.2408,19.2344,58.37,55,33,6.02,NO,2022-07-12 22:48:26
539,Kaeo,-35.1,173.7833,61.32,93,95,11.48,NZ,2022-07-12 22:45:12
